ranking,route,passengers,distance_km,origin_hub,origin_hub_qid,origin_hub_latitude,origin_hub_longitude,destination_hub,destination_hub_qid,destination_hub_latitude,destination_hub_longitude
559,Stockholm - Riga,260554,442.1854740628372,Stockholm,Q1754,59.329444444444,18.068611111111,Riga,Q1773,56.9475,24.106944444444
560,Brussels - Lyon,260520,566.8907800792085,Brussels,Q239,50.8466666666667,4.35166666666667,Lyon,Q456,45.758888888889,4.8413888888889
561,Stockholm - Kiruna,259896,953.587409307149,Stockholm,Q1754,59.329444444444,18.068611111111,Kiruna,Q83232,67.8488888888889,20.3027777777778
562,Sofia - Varna,259666,377.7841139331407,Sofia,Q472,42.697886,23.321726,Varna,Q6506,43.211375,27.91108
563,Munich - Toulouse,259374,931.2064109653297,Munich,Q1726,48.1375,11.575,Toulouse,Q7880,43.604444444444,1.4438888888889
564,Basel - Skopje,259174,1253.817533068413,Basel,Q78,47.560555555556,7.5905555555556,Skopje,Q384,41.983333333333,21.433333333333
565,Catania - Naples,258966,377.3159191438367,Catania,Q1903,37.502669444444,15.087269444444,Naples,Q2634,40.833333333333,14.25
566,Sofia - Munich,258896,1096.535246615264,Sofia,Q472,42.697886,23.321726,Munich,Q1726,48.1375,11.575
567,Prague - Düsseldorf,258335,553.4968308249861,Prague,Q1085,50.083333333333,14.416666666667,Düsseldorf,Q1718,51.231144444444,6.7723805555556
568,Milan - Edinburgh,257963,1451.339580857561,Milan,Q490,45.466944444444,9.19,Edinburgh,Q23436,55.95,-3.1988888888889
569,Munich - Nice,257856,594.9629583092476,Munich,Q1726,48.1375,11.575,Nice,Q33959,43.701944444444,7.2683333333333
570,Milan - Hamburg,257117,900.6808010304547,Milan,Q490,45.466944444444,9.19,Hamburg,Q1055,53.55,10
571,Zürich - Cologne,256694,412.5941319230672,Zürich,Q72,47.378611111111,8.54,Cologne,Q365,50.942222222222,6.9577777777778
572,Oslo - Barcelona,256550,2143.010366206221,Oslo,Q585,59.911111111111,10.752777777778,Barcelona,Q1492,41.3825,2.1769444444444
573,Amsterdam - Düsseldorf,256448,181.60899758976288,Amsterdam,Q727,52.383333333333,4.9,Düsseldorf,Q1718,51.231144444444,6.7723805555556
574,Amsterdam - Toulouse,256020,1009.1718517343418,Amsterdam,Q727,52.383333333333,4.9,Toulouse,Q7880,43.604444444444,1.4438888888889
575,Paris - Belgrade,255973,1445.2340062868238,Paris,Q90,48.856944444444,2.3513888888889,Belgrade,Q3711,44.816666666667,20.466666666667
576,Prague - Stockholm,255867,1054.1502020114042,Prague,Q1085,50.083333333333,14.416666666667,Stockholm,Q1754,59.329444444444,18.068611111111
577,Bilbao - Málaga,255675,738.3973825723376,Bilbao,Q8692,43.262222222222,-2.9533333333333,Málaga,Q8851,36.716666666667,-4.4166666666667
578,Lyon - Porto,255111,1198.688383231375,Lyon,Q456,45.758888888889,4.8413888888889,Porto,Q36433,41.149472222222,-8.6107777777778
579,Milan - Düsseldorf,254125,665.2861672482896,Milan,Q490,45.466944444444,9.19,Düsseldorf,Q1718,51.231144444444,6.7723805555556
580,Nottingham - Faro,254118,1848.895067795681,Nottingham,Q41262,52.955,-1.1491666666667,Faro,Q159457,37.0161111111111,-7.935
581,Paris - Faro,253302,1557.203360275081,Paris,Q90,48.856944444444,2.3513888888889,Faro,Q159457,37.0161111111111,-7.935
582,Amsterdam - Faro,251085,1980.5143785480761,Amsterdam,Q727,52.383333333333,4.9,Faro,Q159457,37.0161111111111,-7.935
583,Vilnius - Frankfurt,250708,1231.9006625018146,Vilnius,Q216,54.683333333333,25.283333333333,Frankfurt,Q1794,50.113611111111,8.6797222222222
584,Frankfurt - Marseille,249734,798.5550047373695,Frankfurt,Q1794,50.113611111111,8.6797222222222,Marseille,Q23482,43.296666666667,5.3763888888889
585,Frankfurt - Nuremberg,249465,187.11739833347477,Frankfurt,Q1794,50.113611111111,8.6797222222222,Nuremberg,Q2090,49.4538888888889,11.0775
586,Copenhagen - Alicante,249304,2158.083792191325,Copenhagen,Q1748,55.676111111111,12.568888888889,Alicante,Q11959,38.345277777778,-0.48305555555556
587,Zagreb - Cavtat,246808,401.55052056175174,Zagreb,Q1435,45.8130555555556,15.9772222222222,Cavtat,Q221350,42.579444444444,18.220833333333
588,Warsaw - Prague,246398,518.6411713097989,Warsaw,Q270,52.216666666667,21.033333333333,Prague,Q1085,50.083333333333,14.416666666667
589,Zürich - Valencia,245683,1135.0432743006063,Zürich,Q72,47.378611111111,8.54,Valencia,Q8818,39.47,-0.376388888888889
590,Oslo - Målselv,245662,1081.5929116722089,Oslo,Q585,59.911111111111,10.752777777778,Målselv,Q488955,68.975,19.064444444444
