occurrenceID,verbatimScientificName,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,eventDate,day,month,year,collectionCode,catalogNumber,license,rightsHolder,recordedBy,issue
URN:catalog:CLO:EBIRD:OBS820278433,Alcedo atthis,ES,Laguna de Dos Reinos EN,Navarra Comunidad Foral de,PRESENT,1,e2e717bf-551a-4917-bdc9-4fa0f342c530,42.3289,-1.36694,2019-10-24T00:00:00Z,24,10,2019,EBIRD,OBS820278433,CC0_1_0,NA,obsr678536,NA
URN:catalog:CLO:EBIRD:OBS820059229,Alcedo atthis,ES,Tarifa--La Caleta,Andalucía,PRESENT,1,e2e717bf-551a-4917-bdc9-4fa0f342c530,36.0117,-5.60055,2019-10-23T00:00:00Z,23,10,2019,EBIRD,OBS820059229,CC0_1_0,NA,obsr978621,NA
URN:catalog:CLO:EBIRD:OBS822469219,Alcedo atthis,ES,Montijo--Parque de las Cabezas,Extremadura,PRESENT,1,e2e717bf-551a-4917-bdc9-4fa0f342c530,38.9357,-6.6082,2019-10-30T00:00:00Z,30,10,2019,EBIRD,OBS822469219,CC0_1_0,NA,obsr910721,NA
URN:catalog:CLO:EBIRD_POR:OBS821513995,Phoenicopterus roseus,PT,Marinha da Garganta,Faro,PRESENT,35,e2e717bf-551a-4917-bdc9-4fa0f342c530,37.0188,-7.90645,2019-10-27T00:00:00Z,27,10,2019,EBIRD_POR,OBS821513995,CC0_1_0,NA,obsr496537,NA
URN:catalog:CLO:EBIRD:OBS821458690,Alcedo atthis,ES,Embalse de la Jarosa,Madrid Comunidad de,PRESENT,1,e2e717bf-551a-4917-bdc9-4fa0f342c530,40.6677,-4.12386,2019-10-27T00:00:00Z,27,10,2019,EBIRD,OBS821458690,CC0_1_0,NA,obsr1219347,NA
URN:catalog:CLO:EBIRD_ESP:OBS813795518,Alcedo atthis,ES,"Campos De Torre Pacheco, Balsicas",Murcia Región de,PRESENT,2,e2e717bf-551a-4917-bdc9-4fa0f342c530,37.7911,-0.945707,2019-10-06T00:00:00Z,6,10,2019,EBIRD_ESP,OBS813795518,CC0_1_0,NA,obsr965995,NA
URN:catalog:CLO:EBIRD:OBS814587654,Alcedo atthis,RO,Danube Delta Biosphere Reserve--Grindul Chituc,Constanta,PRESENT,1,e2e717bf-551a-4917-bdc9-4fa0f342c530,44.5333,28.8745,2019-10-09T00:00:00Z,9,10,2019,EBIRD,OBS814587654,CC0_1_0,NA,obsr1396146,NA
URN:catalog:CLO:EBIRD_ESP:OBS813797293,Phoenicopterus roseus,ES,El Hondo PNat--Área General,Valenciana Comunidad,PRESENT,90,e2e717bf-551a-4917-bdc9-4fa0f342c530,38.1858,-0.780973,2019-10-03T00:00:00Z,3,10,2019,EBIRD_ESP,OBS813797293,CC0_1_0,NA,obsr965995,NA
URN:catalog:CLO:EBIRD:OBS817081907,Alcedo atthis,PT,"Albufeira, Bragado, Vila Real, PT (41,575, -7,652)",Vila Real,PRESENT,1,e2e717bf-551a-4917-bdc9-4fa0f342c530,41.5754,-7.65152,2019-10-16T00:00:00Z,16,10,2019,EBIRD,OBS817081907,CC0_1_0,NA,obsr540735,NA
URN:catalog:CLO:EBIRD:OBS815602228,Alcedo atthis,FR,Réserve Ornithologique Du Teich,Aquitaine,PRESENT,7,e2e717bf-551a-4917-bdc9-4fa0f342c530,44.6411,-1.02075,2019-10-12T00:00:00Z,12,10,2019,EBIRD,OBS815602228,CC0_1_0,NA,obsr544786,NA
URN:catalog:CLO:EBIRD_ESP:OBS815202484,Alcedo atthis,ES,Badajoz--Azud del Guadiana,Extremadura,PRESENT,6,e2e717bf-551a-4917-bdc9-4fa0f342c530,38.862,-7.01471,2019-10-11T00:00:00Z,11,10,2019,EBIRD_ESP,OBS815202484,CC0_1_0,NA,obsr1089184,NA
URN:catalog:CLO:EBIRD:OBS815630693,Alcedo atthis,ES,El Hondo PNat--Observatorio Reserva,Valenciana Comunidad,PRESENT,1,e2e717bf-551a-4917-bdc9-4fa0f342c530,38.1675,-0.72293,2019-10-12T00:00:00Z,12,10,2019,EBIRD,OBS815630693,CC0_1_0,NA,obsr802153,NA
URN:catalog:CLO:EBIRD_POR:OBS817521796,Phoenicopterus roseus,PT,PN Ria Formosa--Quinta de Marim,Faro,PRESENT,12,e2e717bf-551a-4917-bdc9-4fa0f342c530,37.0322,-7.81772,2019-10-17T00:00:00Z,17,10,2019,EBIRD_POR,OBS817521796,CC0_1_0,NA,obsr637540,NA
URN:catalog:CLO:EBIRD:OBS817376824,Phoenicopterus roseus,ES,"Carretera de Sant Carles de la Ràpita a Poblenou del Delta, Amposta, Catalunya, ES (40,638, 0,669)",Cataluña,PRESENT,3,e2e717bf-551a-4917-bdc9-4fa0f342c530,40.6383,0.669113,2019-10-17T00:00:00Z,17,10,2019,EBIRD,OBS817376824,CC0_1_0,NA,obsr608534,NA
URN:catalog:CLO:EBIRD:OBS817374510,Alcedo atthis,CH,"13 Luamaweg, Landquart, Graubünden, CH (46,961, 9,547)",Graubünden,PRESENT,NA,e2e717bf-551a-4917-bdc9-4fa0f342c530,46.9608,9.54667,2019-10-17T00:00:00Z,17,10,2019,EBIRD,OBS817374510,CC0_1_0,NA,obsr1427436,NA
URN:catalog:CLO:EBIRD:OBS812916484,Alcedo atthis,PT,Pateiras do Ave,Braga,PRESENT,1,e2e717bf-551a-4917-bdc9-4fa0f342c530,41.3504,-8.6083,2019-10-05T00:00:00Z,5,10,2019,EBIRD,OBS812916484,CC0_1_0,NA,obsr509826,NA
URN:catalog:CLO:EBIRD:OBS820596577,Phoenicopterus roseus,FR,"France11, Sigean, étang Ferrand, le Recobre et Salin Grimaud",Languedoc-Roussillon,PRESENT,4,e2e717bf-551a-4917-bdc9-4fa0f342c530,43.0352,3.00482,2019-10-25T00:00:00Z,25,10,2019,EBIRD,OBS820596577,CC0_1_0,NA,obsr190359,NA
URN:catalog:CLO:EBIRD:OBS821782915,Alcedo atthis,ES,Riu Besós--Parc Fluvial,Cataluña,PRESENT,2,e2e717bf-551a-4917-bdc9-4fa0f342c530,41.4253,2.22109,2019-10-28T00:00:00Z,28,10,2019,EBIRD,OBS821782915,CC0_1_0,NA,obsr1162461,NA
URN:catalog:CLO:EBIRD:OBS818153950,Alcedo atthis,FR,Bettencourt-Rivière,Picardie,PRESENT,1,e2e717bf-551a-4917-bdc9-4fa0f342c530,49.9963,1.9772,2019-10-19T00:00:00Z,19,10,2019,EBIRD,OBS818153950,CC0_1_0,NA,obsr318770,NA
URN:catalog:CLO:EBIRD:OBS820900300,Alcedo atthis,NL,Amsterdam--Sarphatipark,Noord-Holland,PRESENT,1,e2e717bf-551a-4917-bdc9-4fa0f342c530,52.3545,4.89625,2019-10-26T00:00:00Z,26,10,2019,EBIRD,OBS820900300,CC0_1_0,NA,obsr233336,NA
URN:catalog:CLO:EBIRD_POR:OBS820711977,Phoenicopterus roseus,PT,RN Sapal Castro Marim e VRSA--esteiro da Carrasqueira,Faro,PRESENT,83,e2e717bf-551a-4917-bdc9-4fa0f342c530,37.1985,-7.43041,2019-10-25T00:00:00Z,25,10,2019,EBIRD_POR,OBS820711977,CC0_1_0,NA,obsr1082222,NA
URN:catalog:CLO:EBIRD_ESP:OBS814204621,Alcedo atthis,ES,"Utebo, Soto de Malfora, Aragón, ES (41,737, -0,993)",Aragón,PRESENT,1,e2e717bf-551a-4917-bdc9-4fa0f342c530,41.7367,-0.992838,2019-10-08T00:00:00Z,8,10,2019,EBIRD_ESP,OBS814204621,CC0_1_0,NA,obsr620777,NA
URN:catalog:CLO:EBIRD:OBS819809062,Alcedo atthis,TR,Kızılırmak Deltası Kuş Cenneti,Samsun,PRESENT,6,e2e717bf-551a-4917-bdc9-4fa0f342c530,41.6723,36.0413,2019-10-20T00:00:00Z,20,10,2019,EBIRD,OBS819809062,CC0_1_0,NA,obsr744218,NA
URN:catalog:CLO:EBIRD_ESP:OBS819798885,Phoenicopterus roseus,ES,Lagunas de Campillos--Laguna de Capacete,Andalucía,PRESENT,16,e2e717bf-551a-4917-bdc9-4fa0f342c530,37.0238,-4.82551,2019-10-22T00:00:00Z,22,10,2019,EBIRD_ESP,OBS819798885,CC0_1_0,NA,obsr883109,NA
URN:catalog:CLO:EBIRD:OBS827433286,Alcedo atthis,ES,"Ponte dos Franceses, Puerto Seguro",Castilla y León,PRESENT,1,e2e717bf-551a-4917-bdc9-4fa0f342c530,40.8414,-6.76755,2019-10-10T00:00:00Z,10,10,2019,EBIRD,OBS827433286,CC0_1_0,NA,obsr1383730,NA
URN:catalog:CLO:EBIRD:OBS834778525,Alcedo atthis,PT,PN Ria Formosa--Quinta de Marim,Faro,PRESENT,1,e2e717bf-551a-4917-bdc9-4fa0f342c530,37.0322,-7.81772,2019-10-31T00:00:00Z,31,10,2019,EBIRD,OBS834778525,CC0_1_0,NA,obsr503169,NA
URN:catalog:CLO:EBIRD_ESP:OBS822199322,Alcedo atthis,ES,Embalse Laukariz,País Vasco,PRESENT,1,e2e717bf-551a-4917-bdc9-4fa0f342c530,43.3307,-2.85829,2019-10-29T00:00:00Z,29,10,2019,EBIRD_ESP,OBS822199322,CC0_1_0,NA,obsr651013,NA
