speciesCode,comName,sciName,locId,locName,obsDt,howMany,lat,lng,obsValid,obsReviewed,locationPrivate,subId
grefla3,Greater Flamingo,Phoenicopterus roseus,L5123985,Seixalinho,2020-10-10 17:21,40,38.70281,-9.0067399,TRUE,FALSE,FALSE,S74650641
grefla3,Greater Flamingo,Phoenicopterus roseus,L5585702,Quinta do Saldanha (Observatório),2020-10-10 16:36,266,38.7022993,-8.9867467,TRUE,FALSE,FALSE,S74650732
grefla3,Greater Flamingo,Phoenicopterus roseus,L1177578,RN Estuário do Tejo--Ponta da Erva (acesso condicionado),2020-10-10 15:32,100,38.8338666,-8.9674516,TRUE,FALSE,FALSE,S74662605
grefla3,Greater Flamingo,Phoenicopterus roseus,L12471836,Caminho das Salinas-ALVOR,2020-10-10 14:30,42,37.1441168,-8.591222,TRUE,FALSE,TRUE,S74675574
grefla3,Greater Flamingo,Phoenicopterus roseus,L2684518,Ria de Aveiro--frente ribeirinha e campos da Murtosa,2020-10-10 14:10,6,40.7393885,-8.6599302,TRUE,FALSE,FALSE,S74687500
grefla3,Greater Flamingo,Phoenicopterus roseus,L972527,RN Estuário do Tejo--Sítio das Hortas,2020-10-10 13:50,NA,38.760768,-8.9384186,TRUE,FALSE,FALSE,S74644753
grefla3,Greater Flamingo,Phoenicopterus roseus,L9039451,Marinha da Garganta,2020-10-10 13:28,NA,37.0188258,-7.9064518,TRUE,FALSE,FALSE,S74632671
grefla3,Greater Flamingo,Phoenicopterus roseus,L8479003,PN Ria Formosa--Praia dos Cavacos,2020-10-10 12:12,25,37.0373878,-7.7969885,TRUE,FALSE,FALSE,S74631453
grefla3,Greater Flamingo,Phoenicopterus roseus,L12485952,"EM544, Santiago do Cacém, Setúbal, PT (38,112, -8,798)",2020-10-10 11:30,5,38.1121639,-8.7975172,TRUE,FALSE,TRUE,S74756493
grefla3,Greater Flamingo,Phoenicopterus roseus,L2163926,Sapal de Corroios--Moinho de Maré,2020-10-10 11:28,88,38.64359,-9.144702,TRUE,FALSE,FALSE,S74631172
