"lon","lat","route"
19.8604247,44.8949725,"Maršala Tita"
19.8337689,45.0901912,"Maršala Tita"
20.3635454,44.6179893,"Maršala Tita"
20.3002455,45.3804298,"Maršala Tita"
20.4352876,45.4726584,"Maršala Tita"
21.860689,43.3271924,"Maršala Tita"
20.2352915,44.8160758,"Maršala Tita"
19.5230055,45.5073018,"Maršala Tita"
19.6926788,45.4548036,"Maršala Tita"
19.5885374,45.3990216,"Maršala Tita"
20.1599818,45.2995119,"Maršala Tita"
20.1948886,45.4670219,"Maršala Tita"
21.6482288,42.3098518,"Maršala Tita"
20.2675773,46.0923484,"Maršala Tita"
20.2262363,45.5367573,"Maršala Tita"
19.5697591,45.2761057,"Maršala Tita"
20.6603866,44.9259256,"Maršala Tita"
19.6592469,46.1039599,"Aleja Maršala Tita"
19.4397095,45.8976322,"Trg Maršala Tita"
19.296273,45.4084423,"Maršala Tita"
19.2430066,45.3883221,"Maršala Tita"
19.3404959,45.4564335,"Maršala Tita"
19.3581891,45.616709,"Maršala Tita"
19.4246449,45.9661458,"Trg Maršala Tita"
19.3816867,45.7006854,"Maršala Tita"
19.5369476,45.608326,"Maršala Tita"
19.5337262,45.9420661,"Maršala Tita"
19.4249344,45.5679137,"Maršala Tita"
19.3635962,45.5199061,"Maršala Tita"
22.388742,44.4031813,"Maršala Tita"
19.9463654,45.9238488,"Maršala Tita"
20.6026483,44.9481796,"Maršala Tita"
20.6342926,45.0174526,"Maršala Tita"
20.6003374,45.0685434,"Maršala Tita"
20.4439312,45.0859337,"Trg Maršala Tita"
20.448039,45.3124418,"Maršala Tita"
21.325305,44.0330534,"Maršala Tita"
20.7836339,44.9901666,"Maršala Tita"
22.0973227,44.0349591,"Maršala Tita"
21.5370751,44.7009874,"Maršala Tita"
19.1026197,45.4110512,"Maršala Tita"
22.6778895,44.2621935,"Maršala Tita"
20.2990384,45.7109556,"Maršala Tita"
20.5246836,45.5581299,"Maršala Tita"
20.9142566,45.1273996,"Maršala Tita"
20.7726855,45.2022403,"Maršala Tita"
19.9397966,45.0410813,"Maršala Tita"
19.9678123,44.7419107,"Maršala Tita"
20.695678,45.3849559,"Maršala Tita"
20.6191599,45.11216,"Maršala Tita"
20.729152,45.1131973,"Maršala Tita"
20.6932592,44.9644152,"Maršala Tita"
20.5247699,44.9857178,"Trg Maršala Tita"
22.5423266,44.6470273,"Maršala Tita"
22.4978113,44.5849581,"Maršala Tita"
20.909409,44.7613251,"Maršala Tita"
20.152358,45.9397433,"Maršala Tita"
20.3117573,46.0045933,"Maršala Tita"
19.5279139,45.2695389,"Maršala Tita"
19.7554796,45.9330651,"Maršala Tita"
19.5872071,45.5197913,"Maršala Tita"
19.7029763,45.6620206,"Maršala Tita"
19.8291795,45.7619742,"Maršala Tita"
19.6912421,45.6828287,"Maršala Tita"
19.487536,45.6959138,"Maršala Tita"
20.62294,45.2705255,"Maršala Tita"
20.4590289,45.5846554,"Maršala Tita"
20.8303031,45.2710522,"Maršala Tita"
20.1401664,45.7644934,"Maršala Tita"
19.9007563,45.8104462,"Maršala Tita"
19.6742965,45.941052,"Maršala Tita"
20.7895477,45.7446612,"Maršala Tita"
20.2763555,45.9742689,"Maršala Tita"
21.3303101,44.6470918,"Maršala Tita"
19.8792994,45.8487563,"Maršala Tita"
21.5990011,43.7363381,"Maršala Tita"
19.8913854,45.7827099,"Maršala Tita"
19.7033694,45.0787837,"Maršala Tita"
20.283637,45.7661758,"Maršala Tita"
20.3733114,45.2742166,"Maršala Tita"
20.6040049,44.7325515,"Maršala Tita"
20.3070742,45.4365189,"Maršala Tita"
21.6313492,43.7313433,"Maršala Tita"
19.5796064,45.0873509,"Maršala Tita"
20.0490277,44.7056388,"Maršala Tita"
20.21891,45.8929578,"Maršala Tita"
20.4258284,45.3079802,"Maršala Tita"
19.5660092,45.1191137,"Maršala Tita"
20.1638589,45.8258493,"Maršala Tita"
20.8714967,45.4002799,"Maršala Tita"
20.107609,45.9768266,"Maršala Tita"
21.5730242,44.7579538,"Maršala Tita"
20.6183853,45.2073885,"Maršala Tita"
19.4415185,45.665394,"Maršala Tita"
21.421536,44.7365903,"Maršala Tita"
21.4925449,44.6755044,"Maršala Tita"
21.3875055,44.7682116,"Maršala Tita"
21.3752975,43.6806803,"Maršala Tita"
21.3336204,44.0235675,"Maršala Tita"
21.9551951,43.2995624,"Maršala Tita"
20.5976164,45.504422,"Maršala Tita"
21.5510848,43.7206341,"Maršala Tita"
20.6600529,44.9559878,"Ulica maršala Tita"
20.5759119,44.8088515,"Maršala Tita"
20.663557,44.684024,"Maršala Tita"
21.2671012,43.7447149,"Maršala Tita"
21.8295336,42.9508158,"Maršala Tita"
21.5718524,43.7461449,"Maršala Tita"
21.5784984,43.7747126,"Maršala Tita"
21.2086666,43.7537014,"Maršala Tita"
21.2004456,43.7412143,"Maršala Tita"
21.499057,43.6163672,"Maršala Tita"
19.6320882,45.576553,"Maršala Tita"
21.5223791,44.6957995,"Maršala Tita"
21.5287028,44.7220271,"Maršala Tita"
21.4546298,44.7249763,"Maršala Tita"
20.1621241,42.840336,"Maršala Tita"
22.5037721,41.1399421,"Marshal Tito"
22.6470914,41.4260211,"Marshal Tito"
20.9141415,41.8020379,"Marsal Tito"
20.9794533,42.0065609,"Marshal Tito"
20.962661,41.5197391,"Marsal Tito"
22.7048896,41.2192682,"Marshal Tito"
22.5556619,41.3188679,"Marshal Tito Street"
22.8561022,41.7080393,"Marshal Tito"
22.579446,41.2033715,"Marshal Tito"
22.777693,41.9592404,"Marshal Tito"
22.1940351,41.7371835,"Kej Marshal Tito"
22.4758949,41.3324463,"Marshal Tito"
20.9344594,41.8076873,"Marsal Tito"
22.8387377,41.3776394,"Marshal Tito"
22.8545348,41.3798548,"Marshal Tito"
22.8243452,41.3789856,"Marshal Tito"
22.9266127,41.3720758,"Marshal Tito"
22.905161,41.3761542,"Marshal Tito"
21.9413424,41.5805235,"Marshal Tito"
22.4545185,41.631865,"Marshal Tito"
22.8117207,41.3812044,"Marshal Tito"
20.9658408,41.9088686,"Marsal Tito"
20.9590881,41.8234895,"Marsal Tito"
