"id","lat","lon","place","name","country"
57096731,45.569615,15.1927939,"town","Črnomelj","slovenia"
57098450,45.6517513,15.1835241,"town","Semič","slovenia"
57099014,45.642511,14.8597708,"town","Kočevje","slovenia"
57099335,45.7397126,14.7321075,"town","Ribnica","slovenia"
57101431,45.8316083,14.9295491,"town","Žužemberk","slovenia"
57102020,45.9592409,14.5276014,"village","Ig","slovenia"
57102712,45.9642496,14.2963046,"town","Vrhnika","slovenia"
57103061,45.9177494,14.2299429,"town","Logatec","slovenia"
59263721,46.4402664,15.3955469,"village","Lukanja","slovenia"
59264257,46.4249462,15.4913097,"hamlet","Rep","slovenia"
59488018,46.2788319,15.3828229,"village","Svetelka","slovenia"
59647308,46.4759968,15.6544362,"village","Slivnica","slovenia"
59647316,46.4633078,15.6517733,"village","Radizel","slovenia"
59659098,46.1799188,14.6304162,"village","Rova","slovenia"
59708795,45.5258235,13.6114321,"village","Strunjan / Strugnano","slovenia"
59708796,45.5146361,13.5893209,"town","Portorož / Portorose","slovenia"
59768205,46.3492724,15.570806,"village","Križni vrh","slovenia"
59768206,46.3475694,15.5932758,"village","Laporje","slovenia"
59768207,46.3723008,15.5661762,"village","Cigonca","slovenia"
59771683,45.914467,15.6223302,"village","Bukošek","slovenia"
59771685,45.9877006,15.69604,"village","Stara vas-Bizeljsko","slovenia"
59771686,46.0144647,15.6933384,"village","Bizeljsko","slovenia"
59771687,46.0571033,15.6618232,"village","Bistrica ob Sotli","slovenia"
59771688,46.0800585,15.630307,"village","Dekmanca","slovenia"
59771689,46.0749015,15.6408579,"village","Srebrnik","slovenia"
59771690,46.1095008,15.6019179,"hamlet","Prelasko","slovenia"
59771691,46.1207724,15.5980279,"hamlet","Golobinjek ob Sotli","slovenia"
59771692,46.1315964,15.5996439,"village","Imeno","slovenia"
59771693,46.1518082,15.597496,"village","Podčetrtek","slovenia"
59771694,46.1964686,15.5962639,"village","Pristava pri Mestinju","slovenia"
59771695,46.2363538,15.5631675,"village","Mestinje","slovenia"
59771696,46.2702132,15.5554718,"hamlet","Pečica","slovenia"
59771697,46.303326,15.5819018,"village","Zgornje Poljčane","slovenia"
59771698,46.3139295,15.5783963,"village","Poljčane","slovenia"
59771699,46.326921,15.5727432,"village","Spodnja Brežnica","slovenia"
59936834,46.0122469,14.5732342,"village","Orle","slovenia"
59936835,46.0174834,14.6233388,"village","Podlpoglav","slovenia"
59936836,45.9999455,14.6456146,"village","Veliki Lipoglav","slovenia"
59936837,45.9934396,14.6441703,"village","Mali Lipoglav","slovenia"
59936838,45.9918117,14.6248957,"hamlet","Repče","slovenia"
59937546,46.020101,14.678889,"village","Javor","slovenia"
60059409,47.1108503,14.3691582,NA,"Neumarkter Sattel","slovenia"
60389246,45.7208206,14.0393917,"village","Senožeče","slovenia"
60389249,45.6825252,13.9689688,"town","Divača","slovenia"
60389250,45.6078373,13.9350373,"town","Kozina","slovenia"
60486287,45.9731279,14.420791,"village","Podpeč","slovenia"
60486459,45.9545762,14.3011471,"village","Verd","slovenia"
60486461,45.9194745,14.3637139,"village","Borovnica","slovenia"
60486597,45.9870208,14.3993537,"village","Notranje Gorice","slovenia"
60486599,46.0029121,14.4145492,"village","Vnanje Gorice","slovenia"
60486600,46.0245241,14.4175238,"village","Brezovica pri Ljubljani","slovenia"
60486601,46.0187941,14.3837236,"village","Dragomer","slovenia"
60486602,46.0086084,14.3598891,"village","Log pri Brezovici","slovenia"
60506375,46.3561609,14.2923236,"village","Bistrica pri Tržiču","slovenia"
60511460,46.471893,13.9155013,"village","Belca","slovenia"
60678156,45.9753883,14.2829904,"village","Stara Vrhnika","slovenia"
60693365,45.1444423,14.2237365,NA,"Brestova","slovenia"
60884521,46.1192286,14.8371793,"village","Vače","slovenia"
60884935,46.1300096,14.8000651,"hamlet","Zgornja Gora","slovenia"
60884954,46.1320089,14.8038664,"hamlet","Dolina","slovenia"
60886947,46.1322686,14.8023787,"farm","kuhnca","slovenia"
60920871,46.0462657,14.5110883,"locality","Šance","slovenia"
60952963,45.9054237,13.6760431,"village","Volčja Draga","slovenia"
60952964,45.9060546,13.6992399,"village","Vogrsko","slovenia"
60952965,45.8978858,13.6646504,"village","Bukovica","slovenia"
60952966,45.894339,13.6089235,"village","Miren","slovenia"
60952967,45.8519505,13.5829369,"village","Opatje selo","slovenia"
60952968,45.8413359,13.6084123,"village","Hudi Log","slovenia"
60953018,45.8609171,13.604386,"village","Lokvica","slovenia"
60953123,45.8900122,13.6695716,"village","Renče","slovenia"
60953124,45.8851672,13.6425919,"village","Merljaki","slovenia"
60953125,45.8820786,13.6190459,"hamlet","Vrtoče","slovenia"
60953126,45.8951703,13.6437741,"village","Bilje","slovenia"
62847787,46.1497506,14.6502883,"village","Krtina","slovenia"
63580972,39.9369009,23.9289012,NA,"Ακρ. Δρέπανο","slovenia"
63582841,40.195704,23.8024961,NA,"Ακρ. Ξιφάρας","slovenia"
63586436,40.2372186,23.7483537,NA,"Ακρ. Ρίτσος","slovenia"
63594062,40.0960514,23.7729029,NA,"Ακρ. Ν. Μαρμαράς","slovenia"
63594569,40.1907941,23.6858691,NA,"Ακρ. Κάστρο","slovenia"
63597431,40.1069383,23.9973394,NA,"Ακρ. Ρηγάς","slovenia"
63597587,40.1426301,23.7323621,NA,"Ακρ. Ελιά","slovenia"
63599693,40.0527453,24.0077902,NA,"Ακρ. Σικιάς","slovenia"
63601238,39.9708538,24.0005012,NA,"Ακρ. Καραμπογιά","slovenia"
63601357,39.9481633,23.9920717,NA,"Ακρ. Ψευδόκαβος","slovenia"
64000223,46.4435773,15.1983507,"village","Mislinja","slovenia"
64001817,46.509144,15.0790677,"town","Slovenj Gradec","slovenia"
64002482,46.5897059,15.0234517,"town","Dravograd","slovenia"
64825410,38.7590878,22.8597954,NA,"Άγιος Κωνσταντίνος","slovenia"
64981377,46.5035849,15.211234,"village","Kope","slovenia"
64991491,46.6158777,15.2014159,"village","Zgornja Vižinga","slovenia"
66502768,45.9831085,13.5870828,"village","San Floriano del Collio / Števerjan","slovenia"
66503054,45.7165795,13.8100642,"village","Col","slovenia"
73018447,46.1477113,14.6722329,"village","Škocjan","slovenia"
73075218,37.9378191,21.1489917,NA,"Κυλλήνη","slovenia"
73257645,46.1425834,14.6738728,"village","Studenec pri Krtini","slovenia"
73512936,46.1347675,14.6793672,"hamlet","Zalog pod Sveto Trojico","slovenia"
73524591,46.1367884,14.6850338,"hamlet","Goričica pri Moravčah","slovenia"
73528917,46.1340355,14.6852442,"hamlet","Kokošnje","slovenia"
78465911,46.1910272,14.3767815,"hamlet","Meja","slovenia"
79756461,46.1384558,14.6368031,"hamlet","Gorjuša","slovenia"
79760082,46.1447557,14.6656947,"village","Brezje pri Dobu","slovenia"
83450062,46.2185626,15.3950697,"town","Šentjur","slovenia"
